f1,f2,f3,f4
0.9502806736,#N/A,#N/A,#N/A
0.9945054945,#N/A,#N/A,#N/A
0.9264023619,0.8593020897,#N/A,#N/A
#N/A,#N/A,#N/A,0.6309908038
#N/A,0.5231839311,0.0971688249,0.5832240777
#N/A,#N/A,#N/A,0.4243899782
#N/A,#N/A,0.2273559012,#N/A
#N/A,0.9934230258,#N/A,0.5644746805
#N/A,0.8700669257,0.4845549633,#N/A
#N/A,0.4562838888,#N/A,#N/A
#N/A,#N/A,0.2770465787,#N/A
#N/A,0.5239090421,#N/A,0.6302111099
#N/A,#N/A,#N/A,0.4517990874
#N/A,#N/A,0.4827392852,#N/A
#N/A,0.5333026809,#N/A,#N/A
#N/A,#N/A,#N/A,0.5575574655
#N/A,0.497992586,#N/A,#N/A
#N/A,0.8366550242,#N/A,0.8606770833
#N/A,0.7858839498,0.9171159761,#N/A
#N/A,0.5652101401,#N/A,#N/A
#N/A,0.6268629923,0.6738932136,0.5524195165
#N/A,0.782383663,0.7117439888,0.2711410281
#N/A,0.7052928449,0.0839982756,#N/A
#N/A,#N/A,0.7497160224,#N/A
#N/A,0.1761249849,#N/A,0.4678536415
#N/A,0.8894761151,0.4552845155,#N/A
#N/A,0.1240943161,#N/A,#N/A
#N/A,#N/A,0.1724239696,0.5982338946
#N/A,#N/A,#N/A,0.5896927222
#N/A,0.6716617195,0.4287180221,0.7201277597
#N/A,#N/A,0.7898433279,0.8165756318
#N/A,0.4491491491,0.9678709056,#N/A
#N/A,0.8226902006,0.3232648016,0.6010254188
#N/A,#N/A,#N/A,0.3002767601
#N/A,#N/A,0.6358516127,#N/A
#N/A,#N/A,#N/A,0.7134920224
#N/A,0.5625851375,0.8245216229,#N/A
#N/A,#N/A,#N/A,0.9260756086
#N/A,0.9588286043,#N/A,#N/A
#N/A,0.4887598479,#N/A,0.5021086593
#N/A,0.9673389524,0.0700571895,0.8391533394
#N/A,0.3659674427,0.5787360996,#N/A
#N/A,0.0647425282,0.6757844287,0.3486676345
#N/A,0.5976698333,#N/A,0.8298366596
#N/A,0.9458083639,#N/A,#N/A
#N/A,#N/A,0.5838287141,#N/A
#N/A,0.3996604959,0.1809810566,0.704823204
#N/A,0.9335539944,#N/A,0.6744301321
#N/A,#N/A,0.6205937114,0.3772049588
#N/A,0.8420663265,0.0891292055,#N/A
#N/A,0.8823733626,0.3430655384,#N/A
#N/A,#N/A,0.4473406129,0.5609828275
#N/A,#N/A,0.497358437,0.3593153024
#N/A,0.6964912281,0.0839891786,0.6781979639
#N/A,0.2000626919,0.3179794044,#N/A
#N/A,0.3446519525,#N/A,0.5573884418
#N/A,0.4181929224,#N/A,0.732358403
#N/A,0.4019205298,#N/A,#N/A
#N/A,#N/A,#N/A,0.5504063171
#N/A,#N/A,#N/A,0.5599034257
#N/A,#N/A,#N/A,0.6462698413
#N/A,#N/A,#N/A,0.6678175165
#N/A,0.9895571213,0.7748426422,0.8712911311
#N/A,0.7126657665,#N/A,0.4395623844
#N/A,#N/A,0.306355199,0.2721100635
#N/A,0.441226784,#N/A,#N/A
#N/A,0.5311557789,0.4606922563,0.4638174568
#N/A,0.1914663848,0.6727694042,#N/A
#N/A,0.5250723607,#N/A,0.7051433451
#N/A,#N/A,#N/A,0.8897171211
#N/A,#N/A,0.3708097363,#N/A
#N/A,#N/A,0.5559300009,#N/A
#N/A,0.6187326553,#N/A,0.2369524787
#N/A,#N/A,0.4204694354,0.6831368994
#N/A,0.7438884508,#N/A,#N/A
#N/A,0.7457574124,#N/A,#N/A
#N/A,0.7490384615,#N/A,#N/A
#N/A,0.7638830013,#N/A,#N/A
#N/A,#N/A,0.8354919054,0.2646579805
#N/A,0.6970092915,#N/A,0.7220201455
#N/A,#N/A,0.6455932531,0.5875169607
#N/A,#N/A,0.6744214472,0.4127900279
#N/A,#N/A,0.5687139229,#N/A
#N/A,0.6974829213,0.5683421517,0.4170857597
#N/A,0.6707868852,#N/A,#N/A
#N/A,#N/A,0.7789613848,#N/A
#N/A,0.5672340426,#N/A,0.8001621403
#N/A,0.8308950086,#N/A,0.7703349282
#N/A,0.770106241,0.8771486893,#N/A
#N/A,#N/A,0.6671511628,0.3430011862
#N/A,0.9201692329,#N/A,0.7035232252
#N/A,0.2463021659,0.365530303,#N/A
#N/A,#N/A,0.6269914651,0.7799659807
#N/A,0.1966121495,0.3990380411,0.5862884161
#N/A,0.0451234568,#N/A,#N/A
#N/A,#N/A,#N/A,0.0508077124
#N/A,#N/A,0.0749772106,#N/A
#N/A,#N/A,#N/A,0.0873080032
#N/A,#N/A,0.0972257899,#N/A
#N/A,#N/A,0.1974631471,#N/A
#N/A,#N/A,#N/A,0.2069316892
#N/A,#N/A,0.2573402418,#N/A
#N/A,#N/A,#N/A,0.2748691099
#N/A,#N/A,#N/A,0.2835996241
#N/A,#N/A,0.3023801542,#N/A
#N/A,0.3050847458,#N/A,#N/A
#N/A,#N/A,0.3087242438,#N/A
#N/A,0.2951296983,#N/A,0.2467191601
#N/A,0.3240899562,#N/A,#N/A
#N/A,0.3311791383,#N/A,#N/A
#N/A,#N/A,#N/A,0.334055163
#N/A,#N/A,0.3372655777,#N/A
#N/A,#N/A,#N/A,0.3801521769
#N/A,#N/A,#N/A,0.3902886302
#N/A,0.4011042133,#N/A,#N/A
#N/A,#N/A,0.4094769781,#N/A
#N/A,#N/A,#N/A,0.4214390602
#N/A,0.4817302526,0.1887965305,0.3872066943
#N/A,#N/A,0.4299395995,#N/A
#N/A,#N/A,0.4371206514,#N/A
#N/A,#N/A,0.443599493,#N/A
#N/A,0.5241706161,#N/A,0.2223786066
#N/A,#N/A,#N/A,0.4971005155
#N/A,0.5267884093,#N/A,#N/A
#N/A,#N/A,0.535639413,#N/A
